time_stamp_tweet,influencer,promoter,influencer_tweet,promoter_tweet,influencer_tweet_like,promoter_tweet_like,influencer_tweet_text,promoter_tweet_text
2021-09-27T11:48:21.000Z,https://twitter.com/gokhshteinmedia,https://twitter.com/psalmcrypt,https://twitter.com/gokhshteinmedia/status/1442456069284974593,https://twitter.com/psalmcrypt/status/1442460419612835840,28,1,"Which happens first?
#crypto #bitcoin $ETH","power play period for #BTC  next the next 6 months. It will reach 51k+.  Enjoy the ride and take informed decisions. Good luck.

Btw!! Joining the 
@tribeonedefi
 community will be your best decision. Go full into the ecosystem with 
@tribeonedefi
.

#HAKA, #BTC"
2021-09-27T11:39:36.000Z,https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442453870333022208,https://twitter.com/psalmcrypt/status/1442465429650214924,835,1,,"It's a bullish week, everyone woke up with the right mood.

I just joined the 
@tribeonedefi
 family, now I have become my own bank. Nice to have a peer-peer frictionless #DeFi 

#DeFi #HAKA"
2021-09-27T14:52:43.000Z,https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442502469863444484,https://twitter.com/psalmcrypt/status/1442512194705395718,662,1,"$XRP, $XDC and $XLM.

The X’s. 

If you dig into the projects you’ll understand why I’m bullish on them. 

NFA","Good for you David, I'm really not a fan of these projects though.

Anyway!!!  staking & earning rewards with $HAKA has been fun!

pools are filling up quickly!!!! LET'S GO!!!  

#Tribe #BTC #HAKA"
2021-09-27T15:46:34.000Z,https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442516020678340608,https://twitter.com/psalmcrypt/status/1442519279451066379,68,2,"So Jaime, you’re saying #Bitcoin is legit?","David were you thinking #BTC is a Ponzi scheme ?

Look out for 
@tribeonedefi
 and be a part of their three leading #staking programmes
where you can now stake $HAKA
 
@unifarm_
 ,
@hotcrosscom
, @pool_x_official .

Massive one from 
@tribeonedefi
 

#DeFi #HODL"
2021-09-27T14:32:20.000Z,https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442497336865853444,https://twitter.com/psalmcrypt/status/1442521752131624965,114,2,"Are you stacking more $BTC or $ETH? 

So far, the people I speak to are more interested in $ETH believing it’ll put up the same numbers $BTC did in 2017.

Thoughts.","I also think the same for $ETH, $ETH 2.0 will be a major blow for $ETH in general.

If you want big APRS of up to 55% I suggest you Stake $HAKA now. 

Pools are going rising up so quick"
2021-09-27T16:16:09.000Z,https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442523465895010306,https://twitter.com/psalmcrypt/status/1442529008730705921,224,5,Damn — $COTI is really moving today.,"$COTI will be part of the future though 

With the two recent anazing #staking programmes running you shouldn't miss out on $HAKA. 
@unifarm_
 & 
@hotcrosscom
 will be a big blow for $HAKA"
2021-09-27T15:04:31.000Z,https://twitter.com/pbxleviathan,https://twitter.com/psalmcrypt,https://twitter.com/pbxleviathan/status/1442505437211856898,https://twitter.com/psalmcrypt/status/1442531552643092482,145,1,"We are going for the ATH! $COTI will break barriers after today speech of 
@shahafbg
  on 
@cryptomanran
 show.","Only reason I bought @ .34 was because 
@Cardano
 was an investor.. $COTI is performing at a high level today.

I will be staking more in $HAKA. Staking on the  #UniFarm pool to earn APYs of up to 250%. 
@tribeonedefi
 is dominating .

#HODL #DeFi"
2021-09-27T15:03:40.000Z,https://twitter.com/intocryptoverse,https://twitter.com/psalmcrypt,https://twitter.com/intocryptoverse/status/1442505224162213895,https://twitter.com/psalmcrypt/status/1442533163272704003,"2,474",1,What #crypto is undervalued?,"IMO, $HAKA is unfairly undervalued. Great prospect and massive use case.
@tribeonedefi
 is a big solution giver and with their token $HAKA I'm certain they will do alot in the space. Let's go TRIBE!! 

#DeFi #BTC #HODL"
2021-09-27T15:41:16.000Z,https://twitter.com/TheMoonCarl,https://twitter.com/psalmcrypt,https://twitter.com/TheMoonCarl/status/1442514685169999880,https://twitter.com/psalmcrypt/status/1442534424084729860,"1,463",1,Buy #Bitcoin now so your future family never has to FOMO!,"I hodl a large portion of #BTC already in my folio.

It is time to focus on promising investments like $HAKA. An investment that will generate passive income and will be a very secure and transparent investment .

#DeFi"
2021-09-27T13:30:07.000Z,https://twitter.com/TheMoonCarl,https://twitter.com/psalmcrypt,https://twitter.com/TheMoonCarl/status/1442481679550058497,https://twitter.com/psalmcrypt/status/1442536560667332608,"1,139",1,"“China bans #Bitcoin”

We’ve heard it a million times, yawn. 

I’m glad we’re moving on already.","It's obvious #BTC is gradually breaking from China's dominance which Imo is a very good #bullish sign.
@unifarm_
 is a superb project on its own. 
Staking $HAKA on the #UniFarm staking pool to earn big APYs up to 250% will be a  big plus.

Don't snooze!!
$UFARM #DeFi"
2021-09-27T12:21:00.000Z,https://twitter.com/TheMoonCarl,https://twitter.com/psalmcrypt,https://twitter.com/TheMoonCarl/status/1442464286438199299,https://twitter.com/psalmcrypt/status/1442537785823539210,"2,232",3,I'll keep holding my Bitcoin until I fly private jets every week or until I'm cleaning them.,"Lol your goal is to buy a private jet?  

Mine is too buy a paint House with my 250% APYs  when I stake $HAKA  on the #UniFarm pool

$UFARM #DeFi"
2021-09-27T14:05:10.000Z,https://twitter.com/saylor,https://twitter.com/psalmcrypt,https://twitter.com/saylor/status/1442490501257629703,https://twitter.com/psalmcrypt/status/1442542866945826819,12.6K,2,Replace your fear with focus. #Bitcoin,"I'm replacing all of my fears with $HAKA.

@pool_x_official pools are rocketing  quickly. So I will keep staking $HAKA to enjoy APRs of up to 55%.

#DeFi"
2021-09-27T12:58:45.000Z,https://twitter.com/Eric_BIGfund,https://twitter.com/psalmcrypt,https://twitter.com/Eric_BIGfund/status/1442473788411629568,https://twitter.com/psalmcrypt/status/1442546936477884419,"2,945",2,Don’t wait to buy bitcoin. Buy #bitcoin and wait.,"I am going big in $HAKA instead. 

Nearly 5 million + $HAKA has been 
staked on  
@hotcrosscom
 #staking pool !!
I'm not missing out on the chance to stake & enjoy whopping APRs of over 200%

#HODL #DeFi"
2021-09-27T11:00:07.000Z,https://twitter.com/krakenfx,https://twitter.com/psalmcrypt,https://twitter.com/krakenfx/status/1442443931715719169,https://twitter.com/psalmcrypt/status/1442547914807463941,"4,103",2,if you're bullish on Bitcoin,"I am clicking the like icon not because I'm bullish on #BTC but because $HAKA is breaking limits and more recognition is happening.

#bullish #DeFi"
2021-09-27T17:50:01.000Z,https://twitter.com/TheMoonCarl,https://twitter.com/psalmcrypt,https://twitter.com/TheMoonCarl/status/1442547089385435138,https://twitter.com/psalmcrypt/status/1442548875911434243,"1,430",2,Just a reminder that #Bitcoin is king and always will be!,"Lol no one is disputing that fact. But you should realise there are highly undervalued projects that might even do better than #BTC.

DYOR on $HAKA to understand better!!!!

#bullish"
2021-09-27T16:17:41.000Z,https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442523852337147910,https://twitter.com/psalmcrypt/status/1442551059596156928,114,6,China coming out with that FUD a few days ago was the best thing ever — discounts everywhere.,"Hey David, nobody cares about China banning #BTC or #Crypto in general..they have done it for the umpteenth time.

Anyway, now that 
@tribeonedefi
 has partnered with 
@BabylonsNFT
, i guess there would be a wide range of #NFTs in the art + gaming space.

A bullish move

#DeFi"
